"Population, total",SP.POP.TOTL,Afghanistan,AFG,34656032
"Population, total",SP.POP.TOTL,Albania,ALB,2876101
"Population, total",SP.POP.TOTL,Algeria,DZA,40606052
"Population, total",SP.POP.TOTL,American Samoa,ASM,55599
"Population, total",SP.POP.TOTL,Andorra,AND,77281
"Population, total",SP.POP.TOTL,Angola,AGO,28813463
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,100963
"Population, total",SP.POP.TOTL,Argentina,ARG,43847430
"Population, total",SP.POP.TOTL,Armenia,ARM,2924816
"Population, total",SP.POP.TOTL,Aruba,ABW,104822
"Population, total",SP.POP.TOTL,Australia,AUS,24127159
"Population, total",SP.POP.TOTL,Austria,AUT,8747358
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9762274
"Population, total",SP.POP.TOTL,Bahamas,BHS,391232
"Population, total",SP.POP.TOTL,Bahrain,BHR,1425171
"Population, total",SP.POP.TOTL,Bangladesh,BGD,162951560
"Population, total",SP.POP.TOTL,Barbados,BRB,284996
"Population, total",SP.POP.TOTL,Belarus,BLR,9507120
"Population, total",SP.POP.TOTL,Belgium,BEL,11348159
"Population, total",SP.POP.TOTL,Belize,BLZ,366954
"Population, total",SP.POP.TOTL,Benin,BEN,10872298
"Population, total",SP.POP.TOTL,Bermuda,BMU,65331
"Population, total",SP.POP.TOTL,Bhutan,BTN,797765
"Population, total",SP.POP.TOTL,Bolivia,BOL,10887882
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3516816
"Population, total",SP.POP.TOTL,Botswana,BWA,2250260
"Population, total",SP.POP.TOTL,Brazil,BRA,207652865
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,30661
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,423196
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7127822
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,18646433
"Population, total",SP.POP.TOTL,Burundi,BDI,10524117
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,539560
"Population, total",SP.POP.TOTL,Cambodia,KHM,15762370
"Population, total",SP.POP.TOTL,Cameroon,CMR,23439189
"Population, total",SP.POP.TOTL,Canada,CAN,36286425
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,60765
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4594621
"Population, total",SP.POP.TOTL,Chad,TCD,14452543
"Population, total",SP.POP.TOTL,Channel Islands,CHI,164541
"Population, total",SP.POP.TOTL,Chile,CHL,17909754
"Population, total",SP.POP.TOTL,China,CHN,1378665000
"Population, total",SP.POP.TOTL,Colombia,COL,48653419
"Population, total",SP.POP.TOTL,Comoros,COM,795601
"Population, total",SP.POP.TOTL,Congo Dem.,Rep.,COD,78736153
"Population, total",SP.POP.TOTL,Congo Rep.,COG,5125821
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4857274
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,23695919
"Population, total",SP.POP.TOTL,Croatia,HRV,4170600
"Population, total",SP.POP.TOTL,Cuba,CUB,11475982
"Population, total",SP.POP.TOTL,Curacao,CUW,159999
"Population, total",SP.POP.TOTL,Cyprus,CYP,1170125
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10561633
"Population, total",SP.POP.TOTL,Denmark,DNK,5731118
"Population, total",SP.POP.TOTL,Djibouti,DJI,942333
"Population, total",SP.POP.TOTL,Dominica,DMA,73543
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10648791
"Population, total",SP.POP.TOTL,Ecuador,ECU,16385068
"Population, total",SP.POP.TOTL,Egypt,EGY,95688681
"Population, total",SP.POP.TOTL,El Salvador,SLV,6344722
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1221490
"Population, total",SP.POP.TOTL,Eritrea,ERI,(unknown)
"Population, total",SP.POP.TOTL,Estonia,EST,1316481
"Population, total",SP.POP.TOTL,Ethiopia,ETH,102403196
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,49117
"Population, total",SP.POP.TOTL,Fiji,FJI,898760
"Population, total",SP.POP.TOTL,Finland,FIN,5495096
"Population, total",SP.POP.TOTL,France,FRA,66896109
"Population, total",SP.POP.TOTL,French Polynesia,PYF,280208
"Population, total",SP.POP.TOTL,Gabon,GAB,1979786
"Population, total",SP.POP.TOTL,Gambia,GMB,2038501
"Population, total",SP.POP.TOTL,Georgia,GEO,3719300
"Population, total",SP.POP.TOTL,Germany,DEU,82667685
"Population, total",SP.POP.TOTL,Ghana,GHA,28206728
"Population, total",SP.POP.TOTL,Gibraltar,GIB,34408
"Population, total",SP.POP.TOTL,Greece,GRC,10746740
"Population, total",SP.POP.TOTL,Greenland,GRL,56186
"Population, total",SP.POP.TOTL,Grenada,GRD,107317
"Population, total",SP.POP.TOTL,Guam,GUM,162896
"Population, total",SP.POP.TOTL,Guatemala,GTM,16582469
"Population, total",SP.POP.TOTL,Guinea,GIN,12395924
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1815698
"Population, total",SP.POP.TOTL,Guyana,GUY,773303
"Population, total",SP.POP.TOTL,Haiti,HTI,10847334
"Population, total",SP.POP.TOTL,Honduras,HND,9112867
"Population, total",SP.POP.TOTL,Hong Kong,HKG,7346700
"Population, total",SP.POP.TOTL,Hungary,HUN,9817958
"Population, total",SP.POP.TOTL,Iceland,ISL,334252
"Population, total",SP.POP.TOTL,India,IND,1324171354
"Population, total",SP.POP.TOTL,Indonesia,IDN,261115456
"Population, total",SP.POP.TOTL,Iran,IRN,80277428
"Population, total",SP.POP.TOTL,Iraq,IRQ,37202572
"Population, total",SP.POP.TOTL,Ireland,IRL,4773095
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83737
"Population, total",SP.POP.TOTL,Israel,ISR,8547100
"Population, total",SP.POP.TOTL,Italy,ITA,60600590
"Population, total",SP.POP.TOTL,Jamaica,JAM,2881355
"Population, total",SP.POP.TOTL,Japan,JPN,126994511
"Population, total",SP.POP.TOTL,Jordan,JOR,9455802
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,17797032
"Population, total",SP.POP.TOTL,Kenya,KEN,48461567
"Population, total",SP.POP.TOTL,Kiribati,KIR,114395
"Population, total",SP.POP.TOTL,Korea Dem. People’s Rep.,PRK,25368620
"Population, total",SP.POP.TOTL,Korea Rep.,KOR,51245707
"Population, total",SP.POP.TOTL,Kosovo,XKX,1816200
"Population, total",SP.POP.TOTL,Kuwait,KWT,4052584
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6082700
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6758353
"Population, total",SP.POP.TOTL,Latvia,LVA,1960424
"Population, total",SP.POP.TOTL,Lebanon,LBN,6006668
"Population, total",SP.POP.TOTL,Lesotho,LSO,2203821
"Population, total",SP.POP.TOTL,Liberia,LBR,4613823
"Population, total",SP.POP.TOTL,Libya,LBY,6293253
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37666
"Population, total",SP.POP.TOTL,Lithuania,LTU,2872298
"Population, total",SP.POP.TOTL,Luxembourg,LUX,582972
"Population, total",SP.POP.TOTL,Macao,MAC,612167
"Population, total",SP.POP.TOTL,Macedonia,MKD,2081206
"Population, total",SP.POP.TOTL,Madagascar,MDG,24894551
"Population, total",SP.POP.TOTL,Malawi,MWI,18091575
"Population, total",SP.POP.TOTL,Malaysia,MYS,31187265
"Population, total",SP.POP.TOTL,Maldives,MDV,417492
"Population, total",SP.POP.TOTL,Mali,MLI,17994837
"Population, total",SP.POP.TOTL,Malta,MLT,436947
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,53066
"Population, total",SP.POP.TOTL,Mauritania,MRT,4301018
"Population, total",SP.POP.TOTL,Mauritius,MUS,1263473
"Population, total",SP.POP.TOTL,Mexico,MEX,127540423
"Population, total",SP.POP.TOTL,Micronesia,FSM,104937
"Population, total",SP.POP.TOTL,Moldova,MDA,3552000
"Population, total",SP.POP.TOTL,Monaco,MCO,38499
"Population, total",SP.POP.TOTL,Mongolia,MNG,3027398
"Population, total",SP.POP.TOTL,Montenegro,MNE,622781
"Population, total",SP.POP.TOTL,Morocco,MAR,35276786
"Population, total",SP.POP.TOTL,Mozambique,MOZ,28829476
"Population, total",SP.POP.TOTL,Myanmar,MMR,52885223
"Population, total",SP.POP.TOTL,Namibia,NAM,2479713
"Population, total",SP.POP.TOTL,Nauru,NRU,13049
"Population, total",SP.POP.TOTL,Nepal,NPL,28982771
"Population, total",SP.POP.TOTL,Netherlands,NLD,17018408
"Population, total",SP.POP.TOTL,New Caledonia,NCL,278000
"Population, total",SP.POP.TOTL,New Zealand,NZL,4692700
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6149928
"Population, total",SP.POP.TOTL,Niger,NER,20672987
"Population, total",SP.POP.TOTL,Nigeria,NGA,185989640
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,55023
"Population, total",SP.POP.TOTL,Norway,NOR,5232929
"Population, total",SP.POP.TOTL,Oman,OMN,4424762
"Population, total",SP.POP.TOTL,Pakistan,PAK,193203476
"Population, total",SP.POP.TOTL,Palau,PLW,21503
"Population, total",SP.POP.TOTL,Panama,PAN,4034119
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8084991
"Population, total",SP.POP.TOTL,Paraguay,PRY,6725308
"Population, total",SP.POP.TOTL,Peru,PER,31773839
"Population, total",SP.POP.TOTL,Philippines,PHL,103320222
"Population, total",SP.POP.TOTL,Poland,POL,37948016
"Population, total",SP.POP.TOTL,Portugal,PRT,10324611
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3411307
"Population, total",SP.POP.TOTL,Qatar,QAT,2569804
"Population, total",SP.POP.TOTL,Romania,ROU,19705301
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144342396
"Population, total",SP.POP.TOTL,Rwanda,RWA,11917508
"Population, total",SP.POP.TOTL,Samoa,WSM,195125
"Population, total",SP.POP.TOTL,San Marino,SMR,33203
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,199910
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,32275687
"Population, total",SP.POP.TOTL,Senegal,SEN,15411614
"Population, total",SP.POP.TOTL,Serbia,SRB,7057412
"Population, total",SP.POP.TOTL,Seychelles,SYC,94677
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7396190
"Population, total",SP.POP.TOTL,Singapore,SGP,5607283
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,40005
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5428704
"Population, total",SP.POP.TOTL,Slovenia,SVN,2064845
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,599419
"Population, total",SP.POP.TOTL,Somalia,SOM,14317996
"Population, total",SP.POP.TOTL,South Africa,ZAF,55908865
"Population, total",SP.POP.TOTL,South Sudan,SSD,12230730
"Population, total",SP.POP.TOTL,Spain,ESP,46443959
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21203000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,54821
"Population, total",SP.POP.TOTL,St. Lucia,LCA,178015
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,31949
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,109643
"Population, total",SP.POP.TOTL,Sudan,SDN,39578828
"Population, total",SP.POP.TOTL,Suriname,SUR,558368
"Population, total",SP.POP.TOTL,Swaziland,SWZ,1343098
"Population, total",SP.POP.TOTL,Sweden,SWE,9903122
"Population, total",SP.POP.TOTL,Switzerland,CHE,8372098
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,18430453
"Population, total",SP.POP.TOTL,Tajikistan,TJK,8734951
"Population, total",SP.POP.TOTL,Tanzania,TZA,55572201
"Population, total",SP.POP.TOTL,Thailand,THA,68863514
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1268671
"Population, total",SP.POP.TOTL,Togo,TGO,7606374
"Population, total",SP.POP.TOTL,Tonga,TON,107122
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1364962
"Population, total",SP.POP.TOTL,Tunisia,TUN,11403248
"Population, total",SP.POP.TOTL,Turkey,TUR,79512426
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5662544
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,34900
"Population, total",SP.POP.TOTL,Tuvalu,TUV,11097
"Population, total",SP.POP.TOTL,Uganda,UGA,41487965
"Population, total",SP.POP.TOTL,Ukraine,UKR,45004645
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9269612,
"Population, total",SP.POP.TOTL,United Kingdom,GBR,65637239,
"Population, total",SP.POP.TOTL,United States,USA,323127513,
"Population, total",SP.POP.TOTL,Uruguay,URY,3444006,
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,31848200,
"Population, total",SP.POP.TOTL,Vanuatu,VUT,270402
"Population, total",SP.POP.TOTL,Venezuela,VEN,31568179
"Population, total",SP.POP.TOTL,Vietnam,VNM,92701100
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,102951
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4551566
"Population, total",SP.POP.TOTL,Yemen,YEM,27584213
"Population, total",SP.POP.TOTL,Zambia,ZMB,16591390
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,16150362